iter	Passed	Remaining
619	18639	11424
620	18673	11396
621	18708	11369
622	18738	11339
623	18782	11317
624	18807	11284
625	18838	11254
626	18864	11222
627	18903	11197
628	18927	11163
629	18959	11135
630	18984	11102
631	19019	11074
632	19045	11042
633	19078	11013
634	19104	10981
635	19140	10954
636	19165	10921
637	19197	10892
638	19226	10861
639	19258	10832
640	19287	10802
641	19315	10770
642	19347	10741
643	19373	10709
644	19409	10683
645	19434	10649
646	19473	10624
647	19498	10591
648	19533	10564
649	19564	10534
650	19592	10503
651	19625	10474
652	19659	10446
653	19688	10416
654	19721	10387
655	19746	10355
656	19781	10327
657	19805	10294
658	19842	10267
659	19867	10234
660	19903	10207
661	19941	10181
662	19978	10154
663	20011	10126
664	20039	10094
665	20076	10068
666	20109	10039
667	20140	10009
668	20171	9980
669	20198	9948
670	20236	9922
671	20268	9893
672	20299	9863
673	20328	9832
674	20352	9799
675	20387	9771
676	20416	9741
677	20447	9710
678	20474	9679
679	20500	9647
680	20535	9619
681	20563	9588
682	20595	9558
683	20620	9526
684	20655	9498
685	20683	9467
686	20719	9439
687	20745	9407
688	20779	9379
689	20806	9347
690	20839	9319
691	20867	9287
692	20899	9258
693	20923	9225
694	20954	9195
695	20978	9163
696	21011	9134
697	21043	9104
698	21074	9075
699	21098	9042
700	21113	9005
701	21139	8973
702	21173	8945
703	21201	8914
704	21234	8885
705	21265	8855
706	21296	8825
707	21319	8792
708	21373	8772
709	21445	8759
710	21520	8747
711	21559	8720
712	21604	8696
713	21645	8670
714	21679	8641
715	21704	8608
716	21736	8579
717	21769	8549
718	21793	8517
719	21828	8488
720	21857	8457
721	21886	8427
722	21910	8394
723	21943	8365
724	21974	8335
725	22004	8304
726	22029	8272
727	22062	8243
728	22088	8211
729	22125	8183
730	22148	8150
731	22184	8122
732	22213	8091
733	22247	8062
734	22273	8030
735	22310	8002
736	22344	7973
737	22370	7941
738	22406	7913
739	22436	7883
740	22474	7855
741	22500	7823
742	22533	7794
743	22567	7765
744	22594	7733
745	22629	7704
746	22657	7673
747	22690	7644
748	22727	7616
749	22753	7584
750	22787	7555
751	22812	7523
752	22846	7494
753	22876	7463
754	22910	7434
755	22941	7404
756	22973	7374
757	23007	7345
758	23035	7314
759	23067	7284
760	23093	7252
761	23127	7223
762	23159	7193
763	23192	7164
764	23214	7131
765	23247	7101
766	23274	7070
767	23304	7039
768	23336	7010
769	23366	6979
770	23390	6947
771	23425	6918
772	23452	6887
773	23489	6858
774	23521	6828
775	23553	6798
776	23580	6767
777	23616	6738
778	23647	6708
779	23682	6679
780	23716	6650
781	23743	6618
782	23784	6591
783	23818	6562
784	23846	6531
785	23880	6501
786	23912	6471
787	23948	6443
788	23977	6412
789	24011	6382
790	24040	6352
791	24078	6323
792	24104	6292
793	24140	6263
794	24164	6231
795	24199	6201
796	24225	6170
797	24260	6141
798	24287	6109
799	24320	6080
800	24347	6048
801	24386	6020
802	24419	5990
803	24450	5960
804	24489	5932
805	24518	5901
806	24557	5873
807	24584	5841
808	24624	5813
809	24658	5783
810	24686	5752
811	24720	5723
812	24750	5693
813	24787	5664
814	24821	5634
815	24852	5604
816	24890	5575
817	24917	5543
818	24954	5514
819	24987	5484
820	25020	5455
821	25052	5425
822	25086	5395
823	25111	5363
824	25142	5333
825	25172	5302
826	25199	5271
827	25232	5241
828	25263	5211
829	25295	5180
830	25325	5150
831	25356	5120
832	25381	5088
833	25419	5059
834	25452	5029
835	25484	4999
836	25517	4969
837	25545	4938
838	25579	4908
839	25610	4878
840	25646	4848
841	25677	4818
842	25704	4787
843	25740	4757
844	25772	4727
845	25798	4696
846	25830	4665
847	25863	4635
848	25890	4604
849	25924	4574
850	25951	4543
851	25987	4514
852	26015	4483
853	26051	4453
854	26081	4423
855	26121	4394
856	26128	4359
857	26160	4329
858	26193	4299
859	26226	4269
860	26251	4238
861	26282	4207
862	26309	4176
863	26340	4146
864	26364	4114
865	26405	4085
866	26436	4055
867	26468	4025
868	26497	3994
869	26524	3963
870	26561	3933
871	26586	3902
872	26625	3873
873	26654	3842
874	26689	3812
875	26717	3781
876	26752	3752
877	26776	3720
878	26812	3690
879	26846	3660
880	26874	3630
881	26906	3599
882	26939	3569
883	26968	3538
884	27002	3508
885	27026	3477
886	27058	3447
887	27090	3416
888	27123	3386
889	27150	3355
890	27183	3325
891	27219	3295
892	27250	3265
893	27282	3234
894	27308	3203
895	27345	3174
896	27371	3143
897	27408	3113
898	27439	3082
899	27465	3051
900	27500	3021
901	27526	2990
902	27560	2960
903	27592	2930
904	27623	2899
905	27658	2869
906	27687	2838
907	27726	2809
908	27752	2778
909	27790	2748
910	27822	2718
911	27854	2687
912	27888	2657
913	27914	2626
914	27947	2596
915	27978	2565
916	28010	2535
917	28041	2504
918	28068	2473
919	28096	2443
920	28131	2413
921	28157	2382
922	28190	2351
923	28216	2320
924	28252	2290
925	28283	2260
926	28311	2229
927	28345	2199
928	28374	2168
929	28400	2137
930	28434	2107
931	28460	2076
932	28493	2046
933	28519	2015
934	28554	1985
935	28581	1954
936	28621	1924
937	28654	1893
938	28676	1862
939	28709	1832
940	28737	1801
941	28769	1771
942	28800	1740
943	28821	1709
944	28854	1679
945	28882	1648
946	28916	1618
947	28944	1587
948	28980	1557
949	29008	1526
950	29040	1496
951	29073	1465
952	29101	1435
953	29132	1404
954	29155	1373
955	29187	1343
956	29213	1312
957	29244	1282
958	29268	1251
959	29297	1220
960	29325	1190
961	29357	1159
962	29377	1128
963	29404	1098
964	29430	1067
965	29456	1036
966	29490	1006
967	29521	975
968	29547	945
969	29587	915
970	29614	884
971	29653	854
972	29679	823
973	29715	793
974	29749	762
975	29785	732
976	29814	701
977	29841	671
978	29872	640
979	29898	610
980	29931	579
981	29962	549
982	29986	518
983	30024	488
984	30054	457
985	30081	427
986	30116	396
987	30141	366
988	30172	335
989	30201	305
990	30227	274
991	30263	244
992	30293	213
993	30317	183
994	30348	152
995	30376	121
996	30409	91
997	30437	60
998	30461	30
999	30494	0
