f56_https_resources,f57_http_resources,f58_external_domains_count,f59_relative_urls,f60_inline_scripts,f61_external_scripts,f62_password_inputs,f63_hidden_inputs,f64_forms_count,f65_iframe_count,f66_images_count,f67_links_count,f68_redirect_meta,f69_language_mismatch,f70_h1_count,f71_h2_count,f72_js_cookies_set,f73_js_cookies_read,f74_total_cookies,f75_input_fields_total,f76_input_fields_without_labels,f77_input_fields_suspicious_names,f78_favicon_mismatch,f79_logo_count,f80_has_ssl_seal,f81_has_copyright,f82_data_uri_count,f83_javascript_uri_count,f84_urgent_words_count,f85_form_action_external,f86_password_related_words,f87_security_related_words,f88_dom_depth,f89_dom_nodes,f90_dom_leaf_ratio,f91_external_css,f92_inline_styles,f93_style_tags,f94_inline_events,f95_obfuscated_events,f96_internal_resources,f97_external_resources,f98_external_resource_ratio,is_phishing
2,0,9,0,0,3,0,0,0,0,2,14,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,70,0.1571428571428571,2,5,0,1,0,5,2,0.2857142857142857,0
7,0,10,0,7,2,0,0,0,0,1,22,0,0,1,3,0,0,0,2,2,2,0,0,0,1,0,0,105,0,31,50,26,743,0.323014804845222,1,70,111,0,0,0,7,1.0,1
22,0,4,1,5,8,0,0,1,0,13,30,0,0,1,3,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,15,387,0.2351421188630491,1,58,1,0,0,4,22,0.8461538461538461,1
7,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46,0.8260869565217391,5,0,1,0,0,16,7,0.3043478260869565,1
2,0,8,0,14,0,0,3,1,0,3,21,0,0,1,0,0,0,0,3,3,0,0,2,0,1,0,0,0,0,1,1,20,497,0.2233400402414486,1,39,46,0,0,7,2,0.2222222222222222,0
5,0,7,1,13,14,6,27,19,0,54,138,0,0,1,19,0,0,0,69,69,18,0,24,0,1,0,1,1,1,86,6,27,1257,0.2171837708830549,11,19,0,15,0,89,5,0.0531914893617021,0
0,0,0,0,2,2,1,5,1,0,3,2,0,0,0,0,0,0,0,7,5,3,0,1,0,0,0,0,0,0,5,0,8,103,0.1553398058252427,1,62,0,1,0,6,0,0.0,1
5,0,12,78,10,5,0,19,2,0,42,205,0,0,0,2,0,0,0,19,19,0,0,1,0,0,0,1,2,0,0,2,11,908,0.2588105726872247,2,8,1,2,0,49,5,0.0925925925925925,0
0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0.6333333333333333,1,2,0,2,0,4,0,0.0,1
0,0,0,0,3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,3,3,2,0,1,0,0,0,0,0,0,3,0,16,52,0.3653846153846153,5,7,1,1,0,6,0,0.0,1
9,0,9,0,4,7,1,1,1,0,0,5,0,0,1,0,0,0,0,5,4,3,0,0,0,1,0,0,0,0,15,0,11,89,0.3146067415730337,1,5,0,2,0,0,9,1.0,1
0,0,1,0,1,0,0,0,0,0,23,4,0,1,2,6,0,0,0,0,0,0,0,9,0,1,0,1,0,0,0,0,11,92,0.3043478260869565,1,0,0,0,0,25,0,0.0,0
1,0,4,2,9,17,0,0,0,0,6,29,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,13,206,0.3592233009708738,8,2,0,0,0,31,1,0.03125,0
29,0,12,9,8,9,0,0,0,0,31,124,0,0,1,3,0,0,0,4,4,0,0,3,0,1,0,0,7,0,0,5,14,685,0.1956204379562043,3,5,5,0,0,26,29,0.5272727272727272,0
19,0,14,0,9,0,0,4,1,0,58,181,0,0,1,4,0,0,0,5,5,0,0,1,0,0,0,0,0,1,0,0,16,610,0.1868852459016393,1,23,3,2,0,56,19,0.2533333333333333,0
5,0,11,0,9,14,0,0,0,0,10,209,0,0,2,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,20,955,0.1801047120418848,2,123,3,0,0,29,5,0.1470588235294117,0
3,0,35,0,6,3,0,0,0,0,1,118,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,19,591,0.3028764805414551,2,1,0,0,0,8,3,0.2727272727272727,0
5,0,16,1,20,1,0,0,0,0,1,40,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,15,303,0.2541254125412541,1,17,3,0,0,1,5,0.8333333333333334,0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0.3333333333333333,0,0,1,0,0,0,1,1.0,0
2,0,8,0,16,0,0,3,1,0,3,21,0,0,1,0,0,0,0,3,3,0,0,2,0,1,0,0,0,0,1,1,20,492,0.2174796747967479,1,39,45,0,0,3,2,0.4,0
