f1_url_length,f2_hostname_length,f3_has_ip,f4_dot,f5_hyphen,f6_at,f7_question,f8_ampersand,f9_pipe,f10_equal,f11_underscore,f12_tilde,f13_percent,f14_slash,f15_asterisk,f16_colon,f17_comma,f18_semicolon,f19_dollar,f20_space_or_%20,f21_www,f22_.com,f23_http,f24_//,f25_https,f26_ratio_digits_url,f27_ratio_digits_hostname,f28_punycode,f29_port,f30_tld_in_path,f31_tld_in_subdomain,f32_abnormal_subdomain,f33_num_subdomains,f34_prefix_suffix,f35_random_domain,f36_shortening_service,f37_path_extension,f38_num_redirections,f39_num_external_redirections,f40_num_words_url,f41_max_char_repeat_url,f42_shortest_word_url,f45_longest_word_url,f48_avg_word_length_url,f43_shortest_word_hostname,f46_longest_word_hostname,f49_avg_word_length_hostname,f44_shortest_word_path,f47_longest_word_path,f50_avg_word_length_path,f51_phish_hints,f52_brand_in_domain,f53_brand_in_subdomain,f54_brand_in_path,f55_suspicious_tld,is_phishing
51,8,0,1,0,0,0,0,0,0,0,0,9,4,0,1,0,0,0,0,0,0,1,1,1,0.17647058823529413,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,2,6,2.769230769230769,2,5,3.5,2,6,2.4,0,1,0,0,0,0
20,12,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,8,5.333333333333333,3,8,5.5,0,0,0.0,0,0,0,0,0,0
30,16,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,1,1,1,1,0.03333333333333333,0.0,0,0,0,0,0,1,0,0,0,0,1,1,5,3,3,8,4.6,3,8,4.666666666666667,4,4,4.0,0,0,0,0,0,0
18,10,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0.3333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,7,4.333333333333333,2,7,4.5,0,0,0.0,0,0,0,0,0,1
1014,29,0,13,22,0,1,12,0,13,15,0,6,6,0,1,0,0,0,2,0,2,2,1,1,0.16272189349112426,0.0,0,0,0,0,0,1,0,0,0,0,0,0,73,2,1,169,12.876712328767123,3,15,9.0,1,12,5.555555555555555,3,0,0,0,0,1
26,17,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,1,0.15384615384615385,0.23529411764705882,0,0,0,0,0,1,0,0,0,0,0,0,4,2,3,6,5.0,3,6,5.0,0,0,0.0,0,1,0,0,1,1
57,24,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,1,1,1,0.03508771929824561,0.0,0,0,0,0,0,1,0,0,0,0,0,0,7,2,1,17,7.0,3,13,7.333333333333333,1,17,7.333333333333333,0,0,0,0,0,1
47,17,0,2,0,0,0,0,0,0,0,0,4,4,0,1,0,0,0,0,1,1,1,1,1,0.0851063829787234,0.0,0,0,0,0,0,1,0,0,0,0,1,0,9,3,2,9,4.0,3,9,5.0,2,6,3.2,0,0,0,0,0,0
28,20,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,1,0.25,0.35,0,0,0,0,0,2,0,0,0,0,0,0,5,2,2,7,4.4,2,7,4.25,0,0,0.0,0,0,1,0,0,1
20,12,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0.2,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,9,5.0,2,9,5.5,0,0,0.0,0,0,0,0,0,1
