f1_url_length,f2_hostname_length,f3_has_ip,f4_dot,f5_hyphen,f6_at,f7_question,f8_ampersand,f9_pipe,f10_equal,f11_underscore,f12_tilde,f13_percent,f14_slash,f15_asterisk,f16_colon,f17_comma,f18_semicolon,f19_dollar,f20_space_or_%20,f21_www,f22_.com,f23_http,f24_//,f25_https,f26_ratio_digits_url,f27_ratio_digits_hostname,f28_punycode,f29_port,f30_tld_in_path,f31_tld_in_subdomain,f32_abnormal_subdomain,f33_num_subdomains,f34_prefix_suffix,f35_random_domain,f36_shortening_service,f37_path_extension,f38_num_redirections,f39_num_external_redirections,f40_num_words_url,f41_max_char_repeat_url,f42_shortest_word_url,f45_longest_word_url,f48_avg_word_length_url,f43_shortest_word_hostname,f46_longest_word_hostname,f49_avg_word_length_hostname,f44_shortest_word_path,f47_longest_word_path,f50_avg_word_length_path,f51_phish_hints,f52_brand_in_domain,f53_brand_in_subdomain,f54_brand_in_path,f55_suspicious_tld,f56_https_resources,f57_http_resources,f58_external_domains_count,f59_relative_urls,f60_inline_scripts,f61_external_scripts,f62_password_inputs,f63_hidden_inputs,f64_forms_count,f65_iframe_count,f66_images_count,f67_links_count,f68_redirect_meta,f69_language_mismatch,f70_h1_count,f71_h2_count,f72_js_cookies_set,f73_js_cookies_read,f74_total_cookies,f75_input_fields_total,f76_input_fields_without_labels,f77_input_fields_suspicious_names,f78_favicon_mismatch,f79_logo_count,f80_has_ssl_seal,f81_has_copyright,f82_data_uri_count,f83_javascript_uri_count,f84_urgent_words_count,f85_form_action_external,f86_password_related_words,f87_security_related_words,f88_dom_depth,f89_dom_nodes,f90_dom_leaf_ratio,f91_external_css,f92_inline_styles,f93_style_tags,f94_inline_events,f95_obfuscated_events,f96_internal_resources,f97_external_resources,f98_external_resource_ratio,is_phishing
24,15,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,1,1,1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,3,7,4.5,3,7,4.333333333333333,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,80,0.925,2,0,0,0,0,69,1,0.014285714285714285,1
18,10,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,1,0.3888888888888889,0.7,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,7,4.666666666666667,2,7,4.5,0,0,0,0,0,0,0,0,2,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,0.7307692307692307,1,2,0,0,0,5,2,0.2857142857142857,1
162,12,0,2,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,1,1,1,0.14814814814814814,0.0,0,0,1,0,0,0,0,0,0,0,0,0,12,2,2,40,12.416666666666666,2,9,5.5,2,40,14.777777777777779,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,9,64,0.171875,1,6,1,0,0,2,0,0.0,1
41,14,0,4,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,1,1,1,1,1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,8,3,3,6,3.875,3,6,4.0,0,0,0,0,1,0,0,0,0,0,2,0,2,3,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,134,0.35074626865671643,2,0,1,0,0,7,0,0.0,0
19,10,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,7,4.666666666666667,2,7,4.5,0,0,0,0,0,0,0,0,1,0,7,0,3,1,0,0,0,0,28,31,0,0,7,7,0,0,0,2,2,0,0,1,0,1,0,1,0,0,0,2,10,236,0.18220338983050846,1,3,0,2,0,30,1,0.03225806451612903,1
375,13,0,1,13,0,0,0,0,0,0,0,110,4,0,1,0,0,0,0,0,1,1,1,1,0.32,0.0,0,0,0,0,0,0,0,0,0,0,0,0,115,2,2,9,2.139130434782609,3,9,6.0,2,6,2.044642857142857,0,0,0,0,0,141,0,17,1,10,6,0,1,2,0,135,423,0,0,1,0,0,0,0,5,2,1,0,1,0,1,0,10,0,0,0,0,19,1650,0.18787878787878787,1,26,1,2,0,18,141,0.8867924528301887,0
43,15,0,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,1,1,1,0,0.09302325581395349,0.0,0,0,0,0,0,1,0,0,0,0,0,0,7,3,3,10,5.0,3,7,4.333333333333333,4,10,6.0,0,1,0,0,0,0,0,2,0,0,15,0,0,3,0,8,45,0,1,0,1,0,0,0,6,6,1,0,2,0,1,0,0,0,0,0,2,16,1108,0.7382671480144405,11,0,17,0,0,34,0,0.0,1
42,10,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,13,7.2,3,6,4.5,9,13,11.0,2,0,0,0,0,24,0,23,16,5,46,0,0,1,1,21,170,0,0,1,4,0,0,0,0,0,0,0,14,0,1,0,0,173,1,5,84,29,1038,0.2350674373795761,2,22,49,0,0,73,24,0.24742268041237114,0
36,14,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,1,1,1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,6,3,3,7,4.833333333333333,3,6,4.0,5,7,6.0,0,0,0,0,0,1,0,27,2,7,4,1,5,1,1,6,42,0,0,1,0,0,0,0,8,6,0,0,2,0,1,0,0,3,0,6,27,16,440,0.08181818181818182,3,1,2,0,0,19,1,0.05,0
20,13,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,1,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,4,3,2,6,3.75,2,6,3.6666666666666665,0,0,0,0,0,0,0,0,11,0,61,122,17,18,0,5,8,0,180,492,0,0,0,41,0,0,0,17,17,0,0,1,0,1,0,18,0,1,1,1,13,1739,0.18343875790684303,5,30,6,6,0,124,11,0.08148148148148149,0
