f56_https_resources,f57_http_resources,f58_external_domains_count,f59_relative_urls,f60_inline_scripts,f61_external_scripts,f62_password_inputs,f63_hidden_inputs,f64_forms_count,f65_iframe_count,f66_images_count,f67_links_count,f68_redirect_meta,f69_language_mismatch,f70_h1_count,f71_h2_count,f72_js_cookies_set,f73_js_cookies_read,f74_total_cookies,f75_input_fields_total,f76_input_fields_without_labels,f77_input_fields_suspicious_names,f78_favicon_mismatch,f79_logo_count,f80_has_ssl_seal,f81_has_copyright,f82_data_uri_count,f83_javascript_uri_count,f84_urgent_words_count,f85_form_action_external,f86_password_related_words,f87_security_related_words,f88_dom_depth,f89_dom_nodes,f90_dom_leaf_ratio,f91_external_css,f92_inline_styles,f93_style_tags,f94_inline_events,f95_obfuscated_events,f96_internal_resources,f97_external_resources,f98_external_resource_ratio,is_phishing
24,0,34,0,57,6,0,0,0,0,44,256,0,0,0,0,12,0,12,0,0,0,0,1,0,1,0,0,12,0,13,17,20,1951,0.2721681189133778,8,128,29,0,0,84,24,0.2222222222222222,False
17,0,5,1,3,5,0,0,0,0,10,124,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15,530,0.2490566037735849,4,3,0,0,0,4,17,0.8095238095238095,False
15,0,22,1,16,5,0,0,0,0,5,51,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,8,15,347,0.2824207492795389,0,15,5,7,0,1,15,0.9375,False
11,0,8,1,13,5,0,0,0,0,3,23,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,3,13,237,0.35443037974683544,0,7,4,7,0,1,11,0.9166666666666666,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,False
1,0,2,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,5,27,0.5925925925925926,2,0,0,0,0,7,1,0.125,False
2,0,9,0,3,1,0,0,0,0,34,17,0,0,1,9,0,0,0,0,0,0,0,18,0,0,0,0,3,0,0,0,12,283,0.14487632508833923,1,14,1,0,0,34,2,0.05555555555555555,False
13,0,1,0,2,13,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,33,0.5757575757575758,0,0,1,0,0,3,13,0.8125,False
2,0,9,0,3,1,0,0,0,0,34,17,0,0,1,9,0,0,0,0,0,0,0,18,0,0,0,0,3,0,0,0,12,283,0.14487632508833923,1,14,1,0,0,34,2,0.05555555555555555,False
14,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,27,0.7037037037037037,6,0,0,0,0,0,14,1.0,False
14,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,27,0.7037037037037037,6,0,0,0,0,0,14,1.0,False
179,0,19,5,43,28,0,5,4,3,172,399,0,0,1,33,0,0,0,18,15,0,0,3,0,1,0,0,1,1,0,5,16,1711,0.20631209818819404,18,170,12,3,0,54,179,0.7682403433476395,False
193,0,17,14,34,34,0,4,2,2,176,352,0,0,1,19,0,0,0,11,9,0,0,4,1,1,0,0,2,1,0,5,18,1624,0.18472906403940886,15,178,11,4,0,45,193,0.8109243697478992,False
190,0,18,5,42,26,0,5,4,2,188,460,0,0,1,7,0,0,0,18,15,0,0,3,0,1,0,0,1,1,0,5,19,2043,0.28144884973078804,22,178,13,3,0,60,190,0.76,False
10,0,11,0,5,6,0,2,1,1,1,84,0,0,0,12,0,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,13,295,0.09830508474576272,1,5,8,0,0,1,10,0.9090909090909091,False
10,0,11,0,5,6,0,2,1,1,1,84,0,0,0,12,0,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,13,295,0.09830508474576272,1,5,8,0,0,1,10,0.9090909090909091,False
10,0,11,0,5,6,0,2,1,1,1,84,0,0,0,12,0,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,13,295,0.09830508474576272,1,5,8,0,0,1,10,0.9090909090909091,False
4,0,5,0,1,6,0,0,2,0,12,86,0,0,1,11,0,0,0,6,4,0,0,1,0,1,0,0,0,0,0,0,19,589,0.0967741935483871,2,7,0,1,0,21,4,0.16,False
11,0,8,3,7,5,0,0,0,0,11,25,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,19,1322,0.08396369137670197,3,25,0,0,0,10,11,0.5238095238095238,False
9,0,7,0,7,4,0,0,0,0,6,12,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,15,154,0.3181818181818182,3,9,0,0,0,7,9,0.5625,False
15,0,8,3,7,5,0,0,0,0,15,19,0,0,1,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,19,423,0.18203309692671396,3,37,0,0,0,10,15,0.6,False
139,0,92,1,3,13,0,0,1,0,121,285,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,13,1585,0.10094637223974763,5,1,0,2,0,2,139,0.9858156028368794,False
131,0,113,1,3,13,0,0,1,1,113,269,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,12,1120,0.13839285714285715,5,2,0,2,0,3,131,0.9776119402985075,False
123,0,60,0,4,4,0,0,1,0,120,404,0,0,0,1,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,5,15,3289,0.04317421708726057,2,109,1,0,0,6,123,0.9534883720930233,False
3,0,8,0,16,26,0,1,1,1,65,681,0,0,2,17,0,0,0,3,3,0,0,2,0,1,0,0,6,1,2,1,13,2278,0.07857769973661106,2,15,1,0,0,111,3,0.02631578947368421,False
21,0,10,0,12,16,0,2,1,1,23,99,0,0,3,1,0,0,0,4,4,0,0,2,0,1,0,0,0,1,0,0,13,630,0.15714285714285714,2,5,1,0,0,32,21,0.39622641509433965,False
